pname,pid,timetaken,gender,age,nationality,hand,device,mouse,strategy,grids_most_opened,grids_least_opened,move_on,gray,OCD,fun,open_comments
jzptv7f8,1,23.083333333333332,male,21,United States,right,laptop,trackpad,"I tried doing random clicks, and then varying patterns. ",I cleared every part of the star grids except for one. ,One that was disinteresting because it looked very randomized.,NA,0,9,7,
ug8w8cl6,2,21.566666666666666,female,27,USA,right,laptop,mouse,different strategies- sometimes starting in center or at edges,ones with designs that fascinated me (and ones towards the beginning),designs that were busy,NA,0,6,7,
ewrp65l2,3,19.433333333333334,male,20,American,right,desktop,mouse,"write messages, letters, random clicking, starting from corners, starting from center",ones with a clear pattern,ones with no clear pattern/ lots of free space,NA,5,2,4,
hl7ol539,4,22.483333333333334,female,41,American,right,laptop,trackpad,"at first random, but later made patterns to amuse myself",the symmetrical ones where I liked the pattern,ones that seemed random,NA,0,1,1,
etf5vey3,5,20.05,male,19,American,right,laptop,trackpad,Did random patterns that pleased me,"The star-gride didn't matter so much to me, the patterns I created did however. ","The star-gride didn't matter so much to me, the patterns I created did however. ",NA,8,2,8,Nope
2atlso7t,6,24.1,female,26,American,right,desktop,mouse,"No consistent strategy, although I did tend to clear them in rows or on the diagonal.",Most of the time I fully cleared each one regardless of the pattern.,"Ones where I felt like I could already ""see"" the pattern.",NA,0,8,0,That was insanely monotonous.
5zutaosy,7,25.666666666666668,male,22,American,right,laptop,touchscreen,Not really any strategy just checking out some patterns and making my own patterns as well with the clouds :) alsp to clear faster i used two fingers on some pages,Im not sure,Not sure,NA,10,10,3,
9qlt4hu8,8,21.3,female,26,american,right,laptop,mouse,clicking in the middle then on the sides to get an idea of what the pattern was,ones with a lot of blank space/hard to find patterns,ones that looked like qr codes ,NA,0,7,6,
urgkmyva,9,19.433333333333334,female,19,American,right,laptop,mouse,top to bottom,i cleared every star grid,i cleared every star grid,NA,1,10,4,
n242nt2p,10,28.266666666666666,female,30,US,right,laptop,trackpad,Seek patterns starting from the bottom or the middle ,the black-white repeating squares patterns,some unrecognized patterns,NA,10,6,7,It's a good study.
22glc2ta,11,20.466666666666665,male,22,American,right,laptop,mouse,I started from the middle and went outwards. ,for the one that were either all black or all white in the middle. ,The ones that seemed to have no pattern. ,NA,7,0,4,
0epvtb35,12,20.416666666666668,female,30,American,right,laptop,trackpad,"Different. I made patterns, shapes, and random clicks",I enjoyed clearing the grids that I had to work to find the design.,The grids that were too busy.,NA,2,1,7,
no9tgghv,13,24.466666666666665,female,28,White,right,desktop,mouse,"I would either work from the inside out, or if I clicked on a square and it had a pattern, I would try to follow it.",I cleared the most that had patterns throughout.,"If it had a small pattern and the rest was blank, I would make sure the pattern was visible, and move on to the next.",NA,0,9,10,
n8ahou0k,14,26.183333333333334,nosay,45,USA,right,laptop,trackpad,random designs,"symmetrical, or interesting paths, possible patterns",mostly white mostly black,NA,5,0,10,"Thanks, cool experiment, I wish I knew what this strange planet scenario was testing."
3yodzxs5,15,21.566666666666666,male,51,African American,left,laptop,trackpad,Random clicking,solid,dispersed,NA,0,6,0,No
1763xh7y,16,22.916666666666668,female,31,United States,right,laptop,trackpad,"I didn't have a particular strategy, I was just curious to see what the designs were.",square patterns in the middle,designs that had a lot of blank spaces. Either all white or all black squares.,NA,7,1,1,
9lp1g6vx,17,21.083333333333336,male,18,Cambodian,right,desktop,mouse,"To clear regions, I started from the middle and worked outwards to see if the grid was simple, if the outsides were empty I would just move onto the next",The star-grids with complex patterns that took the entire region,The type of star-grids that only had a pattern in the middle and nothing else along the sides.,When I figured out the patter of the star-grid or was satisfied with what I've seen,0,3,6,
0evomqv4,18,22.0,female,22,American,right,laptop,mouse,I usually started in the center and worked my way outwards.,The symmetrical ones.,The non symmetrical,If I didn't like the pattern or if I messed up in my pattern to clear the grid.,0,0,6,
gqfw6hk3,19,25.01666666666667,male,27,American,right,laptop,mouse,"I often went diagonally or branched out from the middle to find a ""structure"", and then I followed the ""structure""  ","I cleared the most regions of star-grids that were more ""whole"", rather than pixelated.",I cleared the least regions of star-grids that contained a large number of differing colors.,I quit viewing a star-grid when it hurt my eyes or when I couldn't make out what I was looking at.,6,2,6,
22u8ts67,20,21.849999999999998,female,24,Caucasian American ,right,laptop,mouse,"I made my own patterns, mostly by skipped every other box to get a good idea of what the picture might be, and then uncovered more boxes if I needed to see more of the picture. ",Those that did not really have a pattern to them. ,Those that had a pattern to them. It was easier to tell what was underneath the uncovered boxes ,Once I felt like I knew what the overall image looked like. ,0,9,9,
fnm2xt8h,21,30.183333333333334,female,76,United States,right,laptop,mouse,"I tried to find ways to make symmetrical pattern, until I got tired of doing it, and then I just clicked to continue to survey.",I don't understand this question.  Maybe: when I saw a symmetrical pattern developing?,I don't understand this question.  Maybe when I saw that the pattern was only going to be random?,"I found a symmetrical pattern, or determined that there wasn't one.",0,3,3,"It would have been better to have some kind of timer or counter.  at one point, I thought of aborting the study because there was no feedback at all.  Also, I didn't understand why I kept seeing a circle with an X in it each time I started a new one."
g75z7c71,22,25.23333333333333,female,46,Caucasian American,right,laptop,mouse,I would build on patterns. I would clear more squares if I saw a pattern or I would create my own pattern. ,The star-grids that had more detail to them. ,The star-grids that had less detail. ,I felt it created a good enough picture. ,10,4,10,Everything was great! Thank you!
yrtzmyux,23,25.116666666666667,female,26,Brazilian,right,laptop,trackpad,I was following the black dots to complete the drawings,The ones that had a lot of black and white points and had an intricate design,The ones that had a lot of black or white space,"If the design wasn't as intricate or interesting, if it only had a couple stars and a lot of black or white space",2,7,8,
3gdlkahf,24,40.916666666666664,male,32,American,right,laptop,mouse,I want to see the star grids and try to find clear view,I clear the similar star gird that was connect with each other.,I think it was a plus star grids.,I made a clear view,6,4,8,nothing
8e9sa4yz,25,29.950000000000003,female,49,American,right,laptop,trackpad,"I cleared mostly in patterns, such as clearing squares that would form a box or a cross.",The grids with the most intricate designs and scattered population of black squares.,The grids with random blobs of sparse black squares.,"If there wasn't an intricate design, and it was just filled with a few black squares or clusters, I moved on.",0,1,7,Thank you for the opportunity to participate.
hfw5b4yh,26,27.56666666666667,female,41,German,right,laptop,trackpad,no strategy,mostly white,dark,boredom,0,0,1,
qr68nfqr,27,31.75,female,71,white,right,desktop,mouse,I can honestly say that I just randomly clicked on squares,I had a hard time visualizing these geometric patterns as stars. There were a few that I uncovered all the squares in the grid.,Ones with large blank areas so I made a pattern in the center and moved on.,Some just looked too random in which I couldn't see a pattern.,1,9,3,
ngrngpqz,28,23.25,female,19,Brazilian,right,laptop,trackpad,I either began at the center or edges and made my way around. I only really spent time on the ones that were symmetrical.,The symmetrical star grids or the ones that had the majority of only one color.,Ones that had scattered nonsymmetrical patterns all around,When the image on the screen was not satisfying to look at.,0,0,4,
