"Id","model","AIC","BIC","Concordance.train","Concordance.test","log.rank.p","likelihood.ratio.p"
"1","Surv(click_id, click_id_plus1, move_on) ~  Subject","8000.21671009724","8129.03943633613","0.819464960540733","0.810372794666267","9.81124351695884e-48","7.8255297954617e-56"
"2","Surv(click_id, click_id_plus1, move_on) ~  uLSC + uInt","8254.04340983454","8263.24503313731","0.522515405447726","0.508872749926343","0.893308111155474","0.893555935620697"
"3","Surv(click_id, click_id_plus1, move_on) ~  cLSC + cInt","8253.24367112587","8262.44529442864","0.50984149531311","0.506224609678486","0.738398858376963","0.739574672321176"
"4","Surv(click_id, click_id_plus1, move_on) ~  uLSC + cLSC","8254.55960708571","8263.76123038849","0.551494206724616","0.556824245980188","0.871662232717256","0.871884472145558"
"5","Surv(click_id, click_id_plus1, move_on) ~  uInt + cInt","8253.46611722517","8262.66774052795","0.519893643735724","0.516559201338566","0.734478557795151","0.734335492915732"
"6","Surv(click_id, click_id_plus1, move_on) ~  uLSC + uInt + cLSC + cInt","8256.14546613901","8274.54871274457","0.535610057970155","0.530612580980539","0.916082773732346","0.917353082308601"
"7","Surv(click_id, click_id_plus1, move_on) ~  uLSC * cLSC","8256.31187964908","8270.11431460325","0.593540457052872","0.600839063619172","0.909794160117014","0.910355392569861"
"8","Surv(click_id, click_id_plus1, move_on) ~  uInt * cInt","8255.42681938727","8269.22925434144","0.510295793828369","0.507436609405965","0.865019401423169","0.862239385257585"
"9","Surv(click_id, click_id_plus1, move_on) ~  uLSC * uInt","8254.68788292728","8268.49031788145","0.53117731532002","0.519881295202559","0.59450731655816","0.61287245660821"
"10","Surv(click_id, click_id_plus1, move_on) ~  cLSC * cInt","8255.20427680562","8269.00671175979","0.497179627715763","0.497262299451496","0.871501711211265","0.872058456680677"
"11","Surv(click_id, click_id_plus1, move_on) ~  cLSC + cInt + uLSC:cLSC + uInt:cInt","8256.60132938804","8275.0045759936","0.57091896064196","0.570218275141965","0.835580397445583","0.831209497479409"
"12","Surv(click_id, click_id_plus1, move_on) ~  uLSC * cLSC + uInt * cInt","8259.51886336901","8287.12373327735","0.572013678933707","0.568171042536068","0.93865818072535","0.937196439112644"
"13","Surv(click_id, click_id_plus1, move_on) ~  uLSC * uInt + cLSC * cInt","8258.3318657017","8285.93673561003","0.568486591414866","0.563975952818724","0.883457611712942","0.893052738060121"
"14","Surv(click_id, click_id_plus1, move_on) ~  uLSC + uInt + cLSC + cInt + uLSC:cInt + cLSC:uInt","8259.74496543349","8287.34983534182","0.504287203606706","0.49935021781502","0.96523454995243","0.96608127649766"
"15","Surv(click_id, click_id_plus1, move_on) ~  uLSC + cLSC + uInt + cInt + uLSC:cLSC + uInt:cInt + uLSC:uInt + cLSC:cInt + uLSC:cInt + cLSC:uInt","8264.1855276275","8310.19364414139","0.639239844002709","0.628810098186727","0.942341514147453","0.949354776833503"
"16","Surv(click_id, click_id_plus1, move_on) ~  chLSC + chInt","8252.99601109017","8262.19763439295","0.525467327745637","0.517793519805757","0.392834036024115","0.385632639694221"
"17","Surv(click_id, click_id_plus1, move_on) ~  avgchLSC + avgchInt","8253.12067420483","8262.3222975076","0.512735522815786","0.51743000221809","0.880859346026358","0.881313637929585"
"18","Surv(click_id, click_id_plus1, move_on) ~  uLSC + uInt + cLSC + cInt + chLSC + chInt","8257.69017534946","8285.29504525779","0.522937002696204","0.512616018783811","0.666728475459151","0.665595572008306"
"19","Surv(click_id, click_id_plus1, move_on) ~  uLSC + uInt + cLSC + cInt + avgchLSC + avgchInt","8257.03319408558","8284.63806399392","0.547024779521965","0.534908858438823","0.966129299911019","0.966733782947539"
"20","Surv(click_id, click_id_plus1, move_on) ~  uLSCsq + uIntsq + cLSCsq + cIntsq","8257.26132194326","8275.66456854882","0.499463936456565","0.489932899450722","0.817914582430547","0.81201077047493"
"21","Surv(click_id, click_id_plus1, move_on) ~  uLSCsq + cLSCsq + uIntsq + cIntsq + uLSC:cLSC + uInt:cInt","8260.67299014614","8288.27786005448","0.49539067301374","0.48248168429057","0.941490355775796","0.938551704309783"
"22","Surv(click_id, click_id_plus1, move_on) ~  uLSCsq + uIntsq + cLSCsq + cIntsq + uLSC:cLSC + uInt:cInt","8260.67299014614","8288.27786005448","0.49539067301374","0.48248168429057","0.941490355775796","0.938551704309783"
"23","Surv(click_id, click_id_plus1, move_on) ~  (uLSCsq + cLSCsq + uLSC:cLSC) + (uIntsq + cIntsq + uInt:cInt) + (uLSC + cLSC):(uInt + cInt)","8265.6755934465","8311.6837099604","0.590181172754222","0.569474190093553","0.851748436673169","0.851746984087366"
"24","Surv(click_id, click_id_plus1, move_on) ~  uLSC + cLSC + uInt + cInt + uLSCsq + uIntsq + cLSCsq + cIntsq","8262.42540338394","8299.23189659505","0.577992363637599","0.566364950509037","0.73889720992466","0.736996291457532"
"25","Surv(click_id, click_id_plus1, move_on) ~  uLSC + cLSC + uInt + cInt + uLSCsq + uIntsq + cLSCsq + cIntsq + uLSC:cLSC + uInt:cInt","8265.22499409806","8311.23311061195","0.620719617283112","0.605889702163874","0.86026942827099","0.855339702319658"
"26","Surv(click_id, click_id_plus1, move_on) ~  uLSC + cLSC + uInt + cInt + uLSCsq + uIntsq + cLSCsq + cIntsq + uLSC:cLSC + uInt:cInt + uLSC:uInt + cLSC:cInt","8266.42097360858","8321.63071342525","0.62760516834583","0.610226954127073","0.873748911761952","0.870052168730551"
"27","Surv(click_id, click_id_plus1, move_on) ~  uLSC + cLSC + uInt + cInt + uLSCsq + uIntsq + cLSCsq + cIntsq + uLSC:cLSC + uInt:cInt + uLSC:uInt + cLSC:cInt + uLSC:cInt + uInt:cLSC","8269.37077618548","8333.78213930493","0.633349006694567","0.612314921705381","0.937324683985641","0.937028371636214"
