"Variable","Coefficients","ExpCoefficients","Significance"
"cLSC",-0.204310582058399,0.815209142531676,"***"
"cInt",0.119764501548863,1.12723135907993,"***"
"Subject2",0.719326982434249,2.05305100618158,"NS"
"Subject3",1.86842421002995,6.4780802582583,"**"
"Subject4",0.964279319121132,2.62289670366807,"NS"
"Subject5",1.32566188861506,3.76467632693617,"."
"Subject6",1.80543237102814,6.08260082041774,"."
"Subject7",1.20737483176122,3.34469273632867,"."
"Subject8",1.61843419668902,5.04518436221553,"*"
"Subject9",1.09473202307047,2.98838175871554,"NS"
"Subject10",2.6247343644946,13.8009076880239,"***"
"Subject11",0.983962947420817,2.67503629216605,"NS"
"Subject12",3.00519514120334,20.1901556428587,"***"
"Subject13",0.0621354146648588,1.06410643058782,"NS"
"Subject14",0.235386664341577,1.26539795841912,"NS"
"Subject15",2.96738389898809,19.4409934085221,"***"
"Subject16",2.55784767862023,12.9080052203902,"***"
"Subject17",1.19730856183155,3.31119304774278,"."
"Subject18",1.74163014333336,5.70663848315241,"*"
"Subject19",0.639966973554544,1.89641824631691,"NS"
"Subject20",-0.499857590785977,0.606617041417794,"NS"
"Subject21",1.56988125644517,4.80607746916745,"*"
"Subject22",-0.00717745339211882,0.992848243011479,"NS"
"Subject23",0.980292635832097,2.66523607139632,"NS"
"Subject24",3.09692376836108,22.129770165611,"***"
"Subject25",0.876845323134327,2.40330608090292,"NS"
"Subject26",-0.561954500582355,0.570093725720443,"NS"
"Subject27",-0.227988114697653,0.796133722069218,"NS"
"Subject28",2.31821040695812,10.1574802749502,"**"
"Subject29",0.213640163134416,1.23817703288012,"NS"
"cLSC:uLSC",-0.363368245390874,0.6953303341576,"***"
"cInt:uInt",-0.0209529791052293,0.979265009403876,"*"
