"Id","model","AIC","BIC","AIC.BIC.Var","Rsq.train.mean","Rsq.train.var","Rsq.test.mean","Rsq.test.var","RMSE.train.mean","RMSE.train.var","RMSE.test.mean","RMSE.test.var"
"1","num_clicks ~ 1 + (1 | Subject)","7486.6","7500.9","985.8","0.5303","0.0004745","0.502","0.001802","17.31","0.08101","17.85","0.3148"
"2","num_clicks ~ 1 + ((uLSC + uInt + fLSC + fInt) | Subject)","7401.6","7482.5","1626.3","0.6631","0.0001462","0.4683","0.01293","14.7","0.1933","18.72","4.013"
"3","num_clicks ~ uLSC + (1 | Subject)","7487.3","7506.3","986.3","0.5306","0.000458","0.5013","0.00175","17.31","0.08178","17.86","0.3216"
"4","num_clicks ~ uInt + (1 | Subject)","7487.2","7506.2","947.4","0.5306","0.0004722","0.5006","0.001757","17.31","0.07608","17.88","0.2773"
"5","num_clicks ~ fLSC + (1 | Subject)","7487.2","7506.2","943.7","0.5306","0.0004705","0.5011","0.001823","17.31","0.07714","17.86","0.2918"
"6","num_clicks ~ fInt + (1 | Subject)","7486.3","7505.3","874.1","0.5312","0.0004864","0.5001","0.001745","17.3","0.06768","17.89","0.2484"
"7","num_clicks ~ uLSC + uInt + (1 | Subject)","7487.8","7511.6","951.6","0.5309","0.0004539","0.4998","0.001692","17.3","0.0772","17.89","0.2852"
"8","num_clicks ~ fLSC + fInt + (1 | Subject)","7486.9","7510.7","848","0.5315","0.0004825","0.4992","0.001774","17.29","0.0654","17.9","0.235"
"9","num_clicks ~ uLSC + fLSC + (1 | Subject)","7487.4","7511.2","946.4","0.5308","0.0004589","0.5003","0.001746","17.3","0.07792","17.88","0.2956"
"10","num_clicks ~ uInt + fInt + (1 | Subject)","7486.6","7510.4","890.2","0.5313","0.000487","0.5003","0.00176","17.29","0.06864","17.89","0.2498"
"11","num_clicks ~ uLSC + uInt + fLSC + fInt + (1 | Subject)","7487.4","7520.7","866.8","0.5318","0.0004698","0.4985","0.001702","17.28","0.0671","17.92","0.2395"
"12","num_clicks ~ uLSC * fLSC + (1 | Subject)","7300.8","7329.3","597.6","0.6204","0.0001275","0.5863","0.0002676","15.56","0.04929","16.38","0.2959"
"13","num_clicks ~ uInt * fInt + (1 | Subject)","7457.4","7485.9","956.7","0.548","0.0003541","0.5173","0.001227","16.98","0.07775","17.56","0.2673"
"14","num_clicks ~ uLSC * uInt + (1 | Subject)","7487.7","7516.2","992.4","0.5312","0.0004712","0.4991","0.001801","17.3","0.08054","17.9","0.298"
"15","num_clicks ~ fLSC * fInt + (1 | Subject)","7485.3","7513.8","735.1","0.5334","0.0004523","0.4997","0.001666","17.26","0.05382","17.91","0.1856"
"16","num_clicks ~ uLSC:fLSC + uInt:fInt + (1 | Subject)","7380","7403.7","414","0.5864","0.0001664","0.5492","0.0006502","16.25","0.03551","17.02","0.1353"
"17","num_clicks ~ fLSC + fInt + uLSC:fLSC + uInt:fInt + (1 | Subject)","7269.7","7303","829.6","0.6349","6.766e-05","0.6007","0.0001396","15.27","0.0601","16.05","0.353"
"18","num_clicks ~ fLSC + fInt + uLSC:fLSC + uInt:fInt + ((fLSC + uLSC + fInt + uInt) | Subject)","7244.9","7344.8","907.2","0.7006","2.52e-05","0.5651","0.0008022","13.84","0.08244","16.99","1.398"
"19","num_clicks ~ fLSC + fInt + uLSC:fLSC + uInt:fInt + ((fLSC + fInt) | Subject)","7234.7","7291.8","912.4","0.6877","0.0001347","0.5662","0.0007533","14.13","0.02975","16.92","1.22"
"20","num_clicks ~ fLSC + fInt + uLSC:fLSC + uInt:fInt + ((uLSC + uInt) | Subject)","7255.8","7312.9","790.9","0.6624","0.000106","0.6093","6.05e-05","14.68","0.03697","15.89","0.4175"
"21","num_clicks ~ fLSC + fInt + uLSC:fLSC + uInt:fInt + (fLSC | Subject)","7245.6","7288.4","683","0.6642","0.0001858","0.6","0.0001619","14.64","0.02016","16.06","0.343"
"22","num_clicks ~ fLSC + fInt + uLSC:fLSC + uInt:fInt + (uLSC | Subject)","7253.8","7296.6","748.5","0.6538","0.0001713","0.6155","2.447e-05","14.86","0.02139","15.75","0.4507"
"23","num_clicks ~ fLSC + fInt + uLSC:fLSC + uInt:fInt + (fInt | Subject)","7252.9","7295.7","1326","0.6608","9.658e-06","0.565","0.0002875","14.72","0.1401","16.9","1.326"
